ID,Session,note_quality,food_present,no_intx_yes_no,Hyena,Time,Order,Behavior,Target,Distance,Leader Y/N?,Food,Notes
5480,t78815,2,FALSE,FALSE,odd,00-Jan-00,1,scan,,15-50,FALSE,,
5481,t78815,2,FALSE,FALSE,mgta,00-Jan-00,1,scan,,25-40,FALSE,,
5482,t78815,2,FALSE,FALSE,amaz,00-Jan-00,1,scan,,25-40,FALSE,,
5483,t78815,2,FALSE,FALSE,scmp,00-Jan-00,1,scan,,5-60,FALSE,,
5484,t78815,2,FALSE,FALSE,wrwk,00-Jan-00,1,scan,,0-165,FALSE,,
5485,t78815,2,FALSE,FALSE,gaza,00-Jan-00,1,scan,,0-165,FALSE,,
5486,t78815,2,FALSE,FALSE,odd,00-Jan-00,2,whoop,,,FALSE,,c=unk
5487,t78815,2,FALSE,FALSE,tgpi,00-Jan-00,1,eb cc lk squeals,lions,20,FALSE,,reacting to lions? Or a nearby group of hyenas
5488,t78815,2,FALSE,FALSE,hel,00-Jan-00,2,paste,,,TRUE,,p=unk
5489,t78815,2,FALSE,FALSE,odd,00-Jan-00,3,whoops repeatedly,,,FALSE,,c=lions
5490,t78815,2,FALSE,FALSE,hel,00-Jan-00,1,incomplete scan,,2-3,FALSE,,brt
5491,t78815,2,FALSE,FALSE,atac,00-Jan-00,1,incomplete scan,,2-3,FALSE,,brt
5492,t78815,2,FALSE,FALSE,amaz,00-Jan-00,1,incomplete scan,,2-3,FALSE,,brt
5493,t78815,2,FALSE,FALSE,mgta,00-Jan-00,1,incomplete scan,,3,FALSE,,brt
5494,t78815,2,FALSE,FALSE,brgr,00-Jan-00,1,incomplete scan,,5,FALSE,,brt
5495,t78815,2,FALSE,FALSE,pant,00-Jan-00,1,incomplete scan,,8,FALSE,,
5496,t78815,2,FALSE,FALSE,odd,00-Jan-00,1,whoops repeadedly,,20,FALSE,,incomplete scan
5497,t78815,2,FALSE,FALSE,tgpi,00-Jan-00,1,brt squeals cc,,22,FALSE,,reacting to lions? Incomplete scan
5498,t78815,2,FALSE,FALSE,brgr,00-Jan-00,1,whoop,,,FALSE,,c=unk
5499,t78815,2,FALSE,FALSE,mgta,00-Jan-00,2,brt app,lions,10,FALSE,,
5500,t78815,2,FALSE,FALSE,mgta,00-Jan-00,1,hb,lions,10,FALSE,,investigative not sumbissive?
5501,t78815,2,FALSE,FALSE,brgr,00-Jan-00,2,whoop (13x),,4,FALSE,,"c=lions, whoops in quick succession"
5502,t78815,2,FALSE,FALSE,amaz,00-Jan-00,3,mob,lions,10,FALSE,,gig brt coal t1 app
5503,t78815,2,FALSE,FALSE,atac,00-Jan-00,3,mob,lions,10,FALSE,,gig brt coal t1 app
5504,t78815,2,FALSE,FALSE,hel,00-Jan-00,3,mob,lions,10,FALSE,,gig brt coal t1 app
5505,t78815,2,FALSE,FALSE,mgta,00-Jan-00,3,mob,lions,10,FALSE,,gig brt coal t1 app
5506,t78815,2,FALSE,FALSE,pant,00-Jan-00,3,mob,lions,10,FALSE,,gig brt coal t1 app
5507,t78815,2,FALSE,FALSE,brgr,00-Jan-00,3,mob,lions,10,FALSE,,gig brt coal t1 app
5508,t78815,2,FALSE,FALSE,gsmk,00-Jan-00,3,mob,lions,10,FALSE,,gig brt coal t1 app
