"clan","session","location","date","start","stop","no_intx_yes_no"
"talek","t1837.2","k",1991-11-05,2018-01-01 06:55:00,2018-01-01 07:00:00,TRUE
"talek","t18410","o",1999-05-26,2018-01-01 06:48:00,2018-01-01 07:36:00,FALSE
"talek","t18412","k",1999-05-26,2018-01-01 07:59:00,2018-01-01 08:23:00,TRUE
"talek","t18473","n",1999-05-31,2018-01-01 06:36:00,2018-01-01 07:03:00,TRUE
"talek","t1849","d",1991-11-09,2018-01-01 17:37:00,2018-01-01 18:50:00,TRUE
"talek","t18492","o",1999-06-01,2018-01-01 06:39:00,2018-01-01 06:44:00,TRUE
"talek","t1850","o",1991-11-10,2018-01-01 06:36:00,2018-01-01 07:35:00,TRUE
"talek","t18522","o",1999-06-02,2018-01-01 07:22:00,2018-01-01 07:40:00,TRUE
"talek","t18574","k",1999-06-06,2018-01-01 07:46:00,2018-01-01 08:00:00,TRUE
"talek","t1862","k",1991-11-15,2018-01-01 07:43:00,2018-01-01 08:20:00,TRUE
"talek","t1863.1","k",1991-11-15,2018-01-01 18:45:00,2018-01-01 18:55:00,FALSE
"talek","t1864","o",1991-11-15,2018-01-01 06:08:00,2018-01-01 07:59:00,FALSE
"talek","t1868.2","k",1991-11-18,2018-01-01 08:25:00,2018-01-01 08:38:00,TRUE
"talek","t1870.02","o",1991-11-19,2018-01-01 18:45:00,2018-01-01 18:50:00,FALSE
"talek","t18707","d",1999-06-14,2018-01-01 06:36:00,2018-01-01 08:16:00,FALSE
"talek","t1876","o",1991-11-21,2018-01-01 05:57:00,2018-01-01 07:20:00,TRUE
"talek","t1878","k",1991-11-21,2018-01-01 08:09:00,2018-01-01 08:30:00,TRUE
"talek","t1903.8","o",1991-12-01,2018-01-01 18:06:00,2018-01-01 18:11:00,TRUE
"talek","t1906.3","o",1991-12-03,2018-01-01 06:56:00,2018-01-01 07:01:00,TRUE
"talek","t1910","o",1991-12-05,2018-01-01 06:19:00,2018-01-01 06:28:00,TRUE
"talek","t19165","k",1999-07-22,2018-01-01 07:34:00,2018-01-01 07:39:00,TRUE
"talek","t19178","k",1999-07-23,2018-01-01 07:51:00,2018-01-01 08:26:00,FALSE
"talek","t19185","k",1999-07-24,2018-01-01 06:50:00,2018-01-01 07:11:00,TRUE
"talek","t1919.2","o",1991-12-17,2018-01-01 07:15:00,2018-01-01 07:20:00,TRUE
"talek","t19244","c",1999-07-29,2018-01-01 06:11:00,2018-01-01 08:00:00,TRUE
"talek","t1929.1","o",1991-12-22,2018-01-01 06:38:00,2018-01-01 06:43:00,TRUE
"talek","t19317","c",1999-08-03,2018-01-01 06:29:00,2018-01-01 07:13:00,FALSE
"talek","t1933","o",1991-12-23,2018-01-01 06:31:00,2018-01-01 06:45:00,TRUE
"talek","t19357","k",1999-08-05,2018-01-01 06:29:00,2018-01-01 07:32:00,FALSE
"talek","t19366","k",1999-08-06,2018-01-01 06:41:00,2018-01-01 07:52:00,FALSE
"talek","t19570","k",1999-08-18,2018-01-01 06:22:00,2018-01-01 07:30:00,FALSE
"talek","t19572","k",1999-08-18,2018-01-01 07:30:00,2018-01-01 08:45:00,FALSE
"talek","t1958","o",1992-01-07,2018-01-01 06:25:00,2018-01-01 07:15:00,TRUE
"talek","t1959","o",1992-01-07,2018-01-01 07:26:00,2018-01-01 08:42:00,FALSE
"talek","t1960.4","o",1992-01-08,2018-01-01 09:04:00,2018-01-01 09:09:00,TRUE
"talek","t19682","m",1999-09-03,2018-01-01 06:49:00,2018-01-01 07:51:00,FALSE
"talek","t1971","o",1992-01-23,2018-01-01 07:07:00,2018-01-01 07:53:00,TRUE
"talek","t1979","o",1992-01-29,2018-01-01 07:43:00,2018-01-01 07:52:00,TRUE
"talek","t19859","o",1999-09-17,2018-01-01 08:42:00,2018-01-01 08:53:00,TRUE
"talek","t19926","k",1999-09-23,2018-01-01 06:11:00,2018-01-01 07:08:00,FALSE
"talek","t19957","k",1999-09-26,2018-01-01 06:08:00,2018-01-01 06:28:00,TRUE
"talek","t2011","d",1992-03-04,2018-01-01 18:27:00,2018-01-01 19:11:00,TRUE
"talek","t2022","k",1992-03-08,2018-01-01 06:35:00,2018-01-01 09:21:00,TRUE
